months_as_customer,age,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,auto_make,fraud_reported,claim_severity_ratio,injury_ratio,vehicle_ratio,from_bind_to_incident_months,is_high_risk_hobby,incident_severity_encoded,claim_x_tenure
328,48,250/500,1000,1406.91,0,MALE,craft-repair,husband,53300,0,Single Vehicle Collision,Side Collision,Police,SC,5,1,YES,1,2,YES,71610,Saab,1,50.89877817344393,0.09090909090909091,0.7272727272727273,3,0,2,214830
228,42,250/500,2000,1197.22,5000000,MALE,machine-op-inspct,other-relative,0,0,Vehicle Theft,Unknown,Police,VA,8,1,Unknown,0,0,Unknown,5070,Mercedes,1,4.234810644660129,0.15384615384615385,0.6923076923076923,102,0,1,517140
134,29,100/300,2000,1413.14,5000000,FEMALE,sales,own-child,35100,0,Multi-vehicle Collision,Rear Collision,Police,NY,7,3,NO,2,3,NO,34650,Dodge,0,24.51986356624255,0.2222222222222222,0.6666666666666666,173,0,1,5994450
256,41,250/500,2000,1415.74,6000000,FEMALE,armed-forces,unmarried,48900,-62400,Single Vehicle Collision,Front Collision,Police,OH,5,1,Unknown,1,2,NO,63400,Chevrolet,1,44.782234026021726,0.1,0.8,295,0,2,18703000
228,44,500/1000,1000,1583.91,6000000,MALE,sales,unmarried,66000,-46000,Vehicle Theft,Unknown,,NY,20,1,NO,0,1,NO,6500,Accura,0,4.1037685222013875,0.2,0.7,8,0,1,52000
256,39,250/500,1000,1351.1,0,FEMALE,tech-support,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Fire,SC,19,3,NO,0,2,NO,64100,Saab,1,47.44282436533196,0.1,0.8,98,0,2,6281800
137,34,250/500,1000,1333.35,0,MALE,prof-specialty,husband,0,-77000,Multi-vehicle Collision,Front Collision,Police,NY,0,3,Unknown,0,0,Unknown,78650,Nissan,0,58.986762665466685,0.2727272727272727,0.6363636363636364,175,0,1,13763750
165,37,100/300,1000,1137.03,0,MALE,tech-support,unmarried,0,0,Multi-vehicle Collision,Front Collision,Police,VA,23,3,Unknown,2,2,YES,51590,Audi,0,45.37259351116506,0.18181818181818182,0.6363636363636364,300,0,3,15477000
27,33,100/300,500,1442.99,0,FEMALE,other-service,own-child,0,0,Single Vehicle Collision,Front Collision,Police,WV,21,1,NO,1,1,YES,27700,Toyota,0,19.196252226280155,0.1,0.8,215,0,3,5955500
212,42,100/300,500,1315.68,0,MALE,priv-house-serv,wife,0,-39300,Single Vehicle Collision,Rear Collision,Other,NC,14,1,NO,2,1,Unknown,42300,Saab,0,32.15067493615469,0.1111111111111111,0.7777777777777778,41,0,3,1734300
235,42,100/300,500,1253.12,4000000,FEMALE,exec-managerial,other-relative,38400,0,Single Vehicle Collision,Front Collision,Police,NY,22,1,YES,2,2,Unknown,87010,Ford,0,69.43469101123596,0.09090909090909091,0.7272727272727273,151,0,3,13138510
447,61,100/300,2000,1137.16,0,FEMALE,exec-managerial,other-relative,0,-51000,Multi-vehicle Collision,Front Collision,Fire,SC,21,3,YES,1,2,YES,114920,Audi,0,101.05877800837173,0.15384615384615385,0.6923076923076923,188,0,2,21604960
60,23,500/1000,500,1215.36,3000000,MALE,protective-serv,wife,0,0,Single Vehicle Collision,Rear Collision,Ambulance,SC,9,1,YES,1,0,NO,56520,Saab,0,46.5047393364929,0.08333333333333333,0.75,206,0,3,11643120
121,34,100/300,1000,936.61,0,FEMALE,armed-forces,wife,52800,-32800,Parked Car,Unknown,,SC,5,1,NO,1,1,NO,7280,Toyota,0,7.772712228141916,0.15384615384615385,0.6923076923076923,26,0,1,189280
180,38,250/500,2000,1301.13,0,FEMALE,machine-op-inspct,not-in-family,41300,-55500,Single Vehicle Collision,Rear Collision,Police,SC,12,1,NO,0,2,YES,46200,Dodge,1,35.50759724239699,0.09090909090909091,0.7272727272727273,192,0,3,8870400
473,58,100/300,2000,1131.4,0,FEMALE,transport-moving,other-relative,55700,0,Multi-vehicle Collision,Side Collision,Other,WV,12,4,YES,0,0,NO,63120,Accura,1,55.78928760827293,0.16666666666666666,0.6666666666666666,267,0,2,16853040
70,26,500/1000,1000,1199.44,5000000,MALE,machine-op-inspct,own-child,63600,0,Multi-vehicle Collision,Rear Collision,Other,NY,0,3,Unknown,1,2,YES,52110,Nissan,0,43.44527446141532,0.1111111111111111,0.7777777777777778,116,0,2,6044760
140,31,500/1000,500,708.64,6000000,MALE,machine-op-inspct,unmarried,53500,0,Single Vehicle Collision,Side Collision,Police,WV,9,1,NO,0,2,YES,77880,Suburu,0,109.90065477534432,0.18181818181818182,0.7272727272727273,121,0,3,9423480
160,37,500/1000,500,1374.22,0,FEMALE,craft-repair,other-relative,45500,-37800,Single Vehicle Collision,Side Collision,Other,NY,19,1,YES,1,0,NO,72930,Accura,0,53.070105223326685,0.09090909090909091,0.7272727272727273,0,0,3,0
196,39,500/1000,2000,1475.73,0,FEMALE,handlers-cleaners,own-child,57000,-27300,Multi-vehicle Collision,Side Collision,Police,VA,8,3,Unknown,2,0,NO,60400,Nissan,0,40.928896207300795,0.1,0.8,270,0,2,16308000
460,62,250/500,1000,1187.96,4000000,MALE,other-service,own-child,0,0,Multi-vehicle Collision,Rear Collision,Police,NY,20,3,NO,1,0,Unknown,47160,Suburu,0,39.698306340280816,0.0,0.8888888888888888,150,0,1,7074000
217,41,500/1000,2000,875.15,0,FEMALE,machine-op-inspct,own-child,46700,0,Multi-vehicle Collision,Side Collision,Police,SC,15,3,Unknown,1,2,Unknown,37840,Accura,0,43.23830200537051,0.0,0.875,110,0,3,4162400
370,55,100/300,2000,972.18,0,MALE,prof-specialty,other-relative,72700,-68200,Multi-vehicle Collision,Rear Collision,Ambulance,SC,20,3,NO,0,0,YES,71520,Suburu,1,73.56662346479048,0.25,0.6666666666666666,247,0,2,17665440
413,55,100/300,2000,1268.79,0,MALE,priv-house-serv,own-child,0,-31000,Single Vehicle Collision,Front Collision,Ambulance,WV,15,1,Unknown,2,2,Unknown,98160,Dodge,1,77.36504858960112,0.08333333333333333,0.75,287,1,3,28171920
237,40,100/300,1000,883.31,0,MALE,craft-repair,husband,0,-53500,Single Vehicle Collision,Rear Collision,Other,VA,6,1,NO,1,3,NO,77880,Ford,0,88.16836671157351,0.09090909090909091,0.7272727272727273,228,0,1,17756640
8,35,100/300,2000,1266.92,0,MALE,sales,own-child,0,0,Multi-vehicle Collision,Rear Collision,Other,OH,16,3,NO,1,3,YES,71500,Ford,1,56.436081204811664,0.23076923076923078,0.6153846153846154,13,0,2,929500
257,43,100/300,2000,1322.1,0,MALE,prof-specialty,own-child,0,-29200,Parked Car,Unknown,Police,PA,4,1,YES,1,3,YES,9020,Toyota,0,6.822479388851071,0.18181818181818182,0.7272727272727273,292,0,1,2633840
202,34,100/300,500,848.07,3000000,MALE,exec-managerial,not-in-family,31000,-30200,Vehicle Theft,Unknown,,VA,5,1,YES,2,1,Unknown,5720,Suburu,1,6.744726260803943,0.18181818181818182,0.7272727272727273,149,1,1,852280
224,40,100/300,2000,1291.7,0,FEMALE,sales,not-in-family,0,-55600,Single Vehicle Collision,Side Collision,Other,SC,21,1,NO,1,0,YES,69840,Dodge,0,54.068282108848805,0.1111111111111111,0.6666666666666666,299,0,1,20882160
241,45,500/1000,2000,1104.5,0,FEMALE,machine-op-inspct,unmarried,0,0,Single Vehicle Collision,Rear Collision,Police,SC,5,1,NO,2,2,NO,91650,Accura,0,82.97872340425532,0.15384615384615385,0.6923076923076923,11,0,1,1008150
64,25,250/500,1000,954.16,0,MALE,prof-specialty,husband,53200,0,Multi-vehicle Collision,Side Collision,Ambulance,SC,22,4,NO,0,0,Unknown,75600,Toyota,0,79.23199463402365,0.16666666666666666,0.6666666666666666,179,0,2,13532400
166,37,100/300,2000,1337.28,8000000,MALE,craft-repair,husband,27500,0,Multi-vehicle Collision,Side Collision,Police,WV,10,3,NO,2,2,Unknown,67140,Ford,1,50.206389088298636,0.1111111111111111,0.7777777777777778,80,0,2,5371200
155,35,500/1000,1000,1088.34,0,FEMALE,adm-clerical,other-relative,81100,0,Multi-vehicle Collision,Front Collision,Police,NY,16,3,YES,2,3,NO,29790,BMW,0,27.37196096807983,0.1111111111111111,0.7777777777777778,138,0,3,4111020
114,30,100/300,1000,1558.29,0,MALE,farming-fishing,wife,51400,-64000,Multi-vehicle Collision,Front Collision,Ambulance,NY,1,3,NO,1,2,Unknown,77110,Suburu,0,49.48372895930796,0.18181818181818182,0.6363636363636364,273,0,2,21051030
149,37,500/1000,500,1415.68,0,MALE,prof-specialty,own-child,0,0,Single Vehicle Collision,Side Collision,Fire,WV,17,1,YES,0,1,YES,64800,Audi,0,45.773056057866185,0.16666666666666666,0.75,288,0,3,18662400
147,33,100/300,1000,1334.15,6000000,MALE,craft-repair,not-in-family,53300,-49200,Single Vehicle Collision,Front Collision,Other,WV,15,1,YES,2,0,YES,53100,Mercedes,1,39.80062211895214,0.2,0.7,53,0,2,2814300
62,28,100/300,1000,988.45,0,FEMALE,protective-serv,unmarried,0,0,Single Vehicle Collision,Rear Collision,Police,NY,3,1,Unknown,1,1,YES,60200,Suburu,1,60.90343467044362,0.1,0.8,142,0,3,8548400
289,49,500/1000,2000,1222.48,0,FEMALE,priv-house-serv,unmarried,0,0,Parked Car,Unknown,,WV,16,1,NO,1,1,YES,5330,Suburu,0,4.359989529481055,0.23076923076923078,0.6153846153846154,263,0,1,1401790
431,54,500/1000,2000,1155.55,0,FEMALE,craft-repair,unmarried,65700,0,Multi-vehicle Collision,Rear Collision,Police,NY,4,3,Unknown,2,0,Unknown,62300,Jeep,0,53.91372073904202,0.2,0.7,145,0,2,9033500
199,37,250/500,500,1262.08,0,MALE,tech-support,wife,48500,0,Single Vehicle Collision,Front Collision,Ambulance,NC,4,1,Unknown,0,3,NO,60170,Nissan,1,47.67526622718053,0.18181818181818182,0.6363636363636364,209,0,2,12575530
79,26,100/300,500,1451.62,0,MALE,tech-support,not-in-family,0,-55700,Single Vehicle Collision,Rear Collision,Ambulance,WV,19,1,NO,2,2,Unknown,40000,BMW,0,27.555420840164782,0.2,0.7,235,0,1,9400000
116,34,250/500,500,1737.66,0,MALE,transport-moving,unmarried,0,-24100,Single Vehicle Collision,Side Collision,Police,WV,1,1,Unknown,1,1,Unknown,97080,BMW,1,55.86823659404026,0.16666666666666666,0.6666666666666666,28,1,2,2718240
37,23,500/1000,500,1475.93,0,FEMALE,prof-specialty,husband,0,-67400,Multi-vehicle Collision,Side Collision,Other,SC,17,3,YES,1,0,NO,51660,Dodge,0,35.00165997032379,0.1111111111111111,0.7777777777777778,104,0,1,5372640
